home_team,away_team,home_score,away_score,date,time,league,matchday,season,competition,venue
Lengyelország,Ukrajna Hendikep,0,1,,,Unknown League,,2025,,
Spanyolország,Japán Hendikep,0,1,,,La Liga,,2025,,
Palmeiras Sp,Botafogo Rj Hendikep,0,2,,,Unknown League,,2025,,
Palmeiras Sp,Botafogo Rj Hendikep,0,1,,,Unknown League,,2025,,
Palmeiras Sp,Botafogo Rj Hendikep,1,0,,,Unknown League,,2025,,
Benfica,Chelsea,0,1,,,Unknown League,,2025,,
Benfica,Chelsea,1,0,,,Unknown League,,2025,,
Benfica,Chelsea,2,0,,,Unknown League,,2025,,
Panama,Honduras Hendikep,0,2,,,Unknown League,,2025,,
Panama,Honduras Hendikep,0,1,,,Unknown League,,2025,,
Panama,Honduras Hendikep,1,0,,,Unknown League,,2025,,
Mexikó,Szaúd-Arábia Hendikep,0,2,,,Unknown League,,2025,,
Mexikó,Szaúd-Arábia Hendikep,0,1,,,Unknown League,,2025,,
Mexikó,Szaúd-Arábia Hendikep,1,0,,,Unknown League,,2025,,
D.C. United,Nashville Hendikep,0,1,,,Unknown League,,2025,,
D.C. United,Nashville Hendikep,1,0,,,Unknown League,,2025,,
D.C. United,Nashville Hendikep,2,0,,,Unknown League,,2025,,
Montreal,New York City FC Hendikep,0,1,,,Unknown League,,2025,,
Montreal,New York City FC Hendikep,1,0,,,Unknown League,,2025,,
Montreal,New York City FC Hendikep,2,0,,,Unknown League,,2025,,
New England,Colorado Rapids Hendikep,0,2,,,Premier League,,2025,,
New England,Colorado Rapids Hendikep,0,1,,,Premier League,,2025,,
New England,Colorado Rapids Hendikep,1,0,,,Premier League,,2025,,
New York Rb,Minnesota Hendikep,0,2,,,Unknown League,,2025,,
New York Rb,Minnesota Hendikep,0,1,,,Unknown League,,2025,,
New York Rb,Minnesota Hendikep,1,0,,,Unknown League,,2025,,
Orlando,FC Cincinnati Hendikep,0,2,,,Unknown League,,2025,,
Orlando,FC Cincinnati Hendikep,0,1,,,Unknown League,,2025,,
Orlando,FC Cincinnati Hendikep,1,0,,,Unknown League,,2025,,
Toronto FC,Portland Hendikep,0,1,,,Unknown League,,2025,,
Toronto FC,Portland Hendikep,1,0,,,Unknown League,,2025,,
Toronto FC,Portland Hendikep,2,0,,,Unknown League,,2025,,
Chicago,Charlotte Hendikep,0,2,,,Unknown League,,2025,,
Chicago,Charlotte Hendikep,0,1,,,Unknown League,,2025,,
Chicago,Charlotte Hendikep,1,0,,,Unknown League,,2025,,
Dallas,San Diego FC Hendikep,0,1,,,Unknown League,,2025,,
Dallas,San Diego FC Hendikep,1,0,,,Unknown League,,2025,,
Dallas,San Diego FC Hendikep,2,0,,,Unknown League,,2025,,
Houston,St. Louis Hendikep,0,2,,,Unknown League,,2025,,
Houston,St. Louis Hendikep,0,1,,,Unknown League,,2025,,
Houston,St. Louis Hendikep,1,0,,,Unknown League,,2025,,
Kansas City,Salt Lake Hendikep,0,2,,,Unknown League,,2025,,
Kansas City,Salt Lake Hendikep,0,1,,,Unknown League,,2025,,
Kansas City,Salt Lake Hendikep,1,0,,,Unknown League,,2025,,
San Jose,Los Angeles Galaxy Hendikep,0,2,,,Unknown League,,2025,,
San Jose,Los Angeles Galaxy Hendikep,0,1,,,Unknown League,,2025,,
San Jose,Los Angeles Galaxy Hendikep,1,0,,,Unknown League,,2025,,
Seattle,Austin Hendikep,0,2,,,Unknown League,,2025,,
Seattle,Austin Hendikep,0,1,,,Unknown League,,2025,,
Seattle,Austin Hendikep,1,0,,,Unknown League,,2025,,
Paris Sg,Inter Miami Hendikep,0,3,,,Unknown League,,2025,,
Paris Sg,Inter Miami Hendikep,0,2,,,Unknown League,,2025,,
Paris Sg,Inter Miami Hendikep,0,1,,,Unknown League,,2025,,
Flamengo Rj,Bayern Munich,0,1,,,Unknown League,,2025,,
Flamengo Rj,Bayern Munich,1,0,,,Unknown League,,2025,,
Flamengo Rj,Bayern Munich,2,0,,,Unknown League,,2025,,
Kanada,Guatemala Hendikep,0,2,,,Unknown League,,2025,,
Kanada,Guatemala Hendikep,0,1,,,Unknown League,,2025,,
Kanada,Guatemala Hendikep,1,0,,,Unknown League,,2025,,
Usa,Costa Rica Hendikep,0,2,,,Unknown League,,2025,,
Usa,Costa Rica Hendikep,0,1,,,Unknown League,,2025,,
Usa,Costa Rica Hendikep,1,0,,,Unknown League,,2025,,
Columbus,Philadelphia Hendikep,0,2,,,Unknown League,,2025,,
Columbus,Philadelphia Hendikep,0,1,,,Unknown League,,2025,,
Columbus,Philadelphia Hendikep,1,0,,,Unknown League,,2025,,
Los Angeles FC,Vancouver Hendikep,0,2,,,Unknown League,,2025,,
Los Angeles FC,Vancouver Hendikep,0,1,,,Unknown League,,2025,,
Los Angeles FC,Vancouver Hendikep,1,0,,,Unknown League,,2025,,
Internazionale,Fluminense Rj Hendikep,0,2,,,Unknown League,,2025,,
Internazionale,Fluminense Rj Hendikep,0,1,,,Unknown League,,2025,,
Internazionale,Fluminense Rj Hendikep,1,0,,,Unknown League,,2025,,
Spanyolország,Anglia,1,3,,,La Liga,,2025,,
Portugália,Hollandia,0,1,,,Eredivisie,,2025,,
Németország,Olaszország,3,2,,,Bundesliga,,2025,,
Dánia,Franciaország,2,3,,,Ligue 1,,2025,,
Anglia,Hollandia,2,1,,,Eredivisie,,2025,,
Metropolitana Németország,Franciaország,3,0,,,Bundesliga,,2025,,
Hu. Dánia,Franciaország,2,3,,,Ligue 1,,2025,,
Seoul E,Land,4,2,,,Unknown League,,2025,,
Napoli,Meta Catania,0,2,,,Unknown League,,2025,,
Kizil,Zsar,0,2,,,Unknown League,,2025,,
Guandong Gz,Power FC,0,2,,,Unknown League,,2025,,
Ham,Kam,2,5,,,Unknown League,,2025,,
Eik,Tonsberg,1,1,,,Unknown League,,2025,,
Németország,Franciaország,3,0,,,Bundesliga,,2025,,
Ft-Ot Nyert Kizárólag A Klubvilágbajnokságra Fogadva. Labdarúgás Seattle - Paris Sg Hendikep,Döntetlen,2,0,,,Unknown League,,2025,,
Németország - Olaszország,Hu.,3,2,,,Bundesliga,,2025,,
Anglia - Hollandia,Argentin,2,1,,,Eredivisie,,2025,,
Metropolitana Németország - Franciaország,M Gy D V Gól P Forma Afm Rpi Arg Aca Exc Dos Vsc Bda Mer Csyd Uai Com Laf Aq Csd Arm Vil Fla Ita Sac Caf Felj.,3,0,,,Bundesliga,,2025,,
Spanyolország - Anglia,Portugália - Hollandia,1,3,,,La Liga,,2025,,
Németország - Olaszország,Hu. Dánia - Franciaország,3,2,,,Bundesliga,,2025,,
- Paris-Vincennes Játék Megnevezése Játékba Küldés Helye Nyeremény A Nyertes Játék Azonosító Száma,A Futam Neve,20,15,,,Unknown League,,2025,,
- Paris-Vincennes,A Futam Neve,20,15,,,Unknown League,,2025,,
Hétfő,Vasárnap,8,0,,,Unknown League,,2025,,
Csütörtök,Fogadási Forduló Befejező Időpontja,5,0,,,Unknown League,,2025,,
Hétfő,Általában Az Első Helyen Feltüntetett Csapat A Pályaválasztó. Fogadást A Fogadási Forduló Kezdő És Befejező Időpontja Közötti Időben Lehet Tenni,8,0,,,Unknown League,,2025,,
Ft-Ot Nyert Kizárólag A Klubvilágbajnokságra Fogadva. Labdarúgás S Eattle - Paris Sg Hendikep,D Öntetlen,2,0,,,Unknown League,,2025,,
Anglia - Hollandia,Németország - Franciaország,2,1,,,Bundesliga,,2025,,
Hétfő,Fogadási Ajánlat,8,0,,,Unknown League,,2025,,
